Id,Dataset,Classifier,Measure,Type,Mean,Std
0,Synthetic_n=20000_p=50_r=0_001,kNN,G-mean,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,kNN,G-mean,Normalized,0.09100008189188454,1.3877787807814457e-17
0,Synthetic_n=20000_p=50_r=0_001,kNN,Kappa,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,kNN,Kappa,Normalized,0.5000500450405366,1.1102230246251565e-16
0,Synthetic_n=20000_p=50_r=0_001,kNN,Bal. acc.,Standard,0.5,0.0
1,Synthetic_n=20000_p=50_r=0_001,kNN,Bal. acc.,Normalized,0.5000500450405366,1.1102230246251565e-16
0,Synthetic_n=20000_p=50_r=0_001,kNN,Recall,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,kNN,Recall,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,kNN,F1-score,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,kNN,F1-score,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,kNN,MCC,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,kNN,MCC,Normalized,0.5000500450405366,1.1102230246251565e-16
0,Synthetic_n=20000_p=50_r=0_001,kNN,Precision,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,kNN,Precision,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,kNN,Accuracy,Standard,0.9989999999999999,1.1102230246251565e-16
1,Synthetic_n=20000_p=50_r=0_001,kNN,Accuracy,Normalized,0.9994995495946348,3.3306690738754696e-16
0,Synthetic_n=20000_p=50_r=0_001,SVM,G-mean,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,SVM,G-mean,Normalized,0.09100008189188454,1.3877787807814457e-17
0,Synthetic_n=20000_p=50_r=0_001,SVM,Kappa,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,SVM,Kappa,Normalized,0.5000500450405366,1.1102230246251565e-16
0,Synthetic_n=20000_p=50_r=0_001,SVM,Bal. acc.,Standard,0.5,0.0
1,Synthetic_n=20000_p=50_r=0_001,SVM,Bal. acc.,Normalized,0.5000500450405366,1.1102230246251565e-16
0,Synthetic_n=20000_p=50_r=0_001,SVM,Recall,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,SVM,Recall,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,SVM,F1-score,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,SVM,F1-score,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,SVM,MCC,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,SVM,MCC,Normalized,0.5000500450405366,1.1102230246251565e-16
0,Synthetic_n=20000_p=50_r=0_001,SVM,Precision,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,SVM,Precision,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,SVM,Accuracy,Standard,0.9989999999999999,1.1102230246251565e-16
1,Synthetic_n=20000_p=50_r=0_001,SVM,Accuracy,Normalized,0.9994995495946348,3.3306690738754696e-16
0,Synthetic_n=20000_p=50_r=0_001,NB,G-mean,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,NB,G-mean,Normalized,0.09100008189188454,1.3877787807814457e-17
0,Synthetic_n=20000_p=50_r=0_001,NB,Kappa,Standard,-6.0060060060065365e-05,0.00023772456630708643
1,Synthetic_n=20000_p=50_r=0_001,NB,Kappa,Normalized,0.48638884086587025,0.054072603896952676
0,Synthetic_n=20000_p=50_r=0_001,NB,Bal. acc.,Standard,0.49996996996997,0.00011886228315353002
1,Synthetic_n=20000_p=50_r=0_001,NB,Bal. acc.,Normalized,0.49999490450496364,0.00021825252741846965
0,Synthetic_n=20000_p=50_r=0_001,NB,Recall,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,NB,Recall,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,NB,F1-score,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,NB,F1-score,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,NB,MCC,Standard,-6.006006006006006e-05,0.0002377245663070654
1,Synthetic_n=20000_p=50_r=0_001,NB,MCC,Normalized,0.49938726672186795,0.002623352161247682
0,Synthetic_n=20000_p=50_r=0_001,NB,Precision,Standard,0.0,0.0
1,Synthetic_n=20000_p=50_r=0_001,NB,Precision,Normalized,0.09090909090909095,4.163336342344337e-17
0,Synthetic_n=20000_p=50_r=0_001,NB,Accuracy,Standard,0.9989399999999997,0.0002374868417407586
