Measure,Proportion,Mean,Standard deviation
ACCURACY,0.9325;0.0675,0.9323800000000004,0.0128582891552492
BALANCED_ACCURACY,0.9325;0.0675,0.5330566838768164,0.07700751530028052
KAPPA,0.9325;0.0675,0.08602772134525356,0.17968263585295163
G_MEAN,0.9325;0.0675,0.1449110268221998,0.21853201366189157
F1_SCORE,0.9325;0.0675,0.09377415228969703,0.1856227832369385
PRECISION,0.9325;0.0675,0.2826388642616264,0.37378633250178417
RECALL,0.9325;0.0675,0.06936356139813309,0.1564135709983377
MCC,0.9325;0.0675,0.10901891777250458,0.1905404124214752
ACCURACY,0.8;0.2,0.8551799999999997,0.02606468108379615
BALANCED_ACCURACY,0.8;0.2,0.7698517739788232,0.07579494070756022
KAPPA,0.8;0.2,0.5347028379001801,0.13024603912861424
G_MEAN,0.8;0.2,0.743574105492616,0.12508358128875025
F1_SCORE,0.8;0.2,0.6205622830412827,0.13316461053554637
PRECISION,0.8;0.2,0.6576425546287704,0.08793022023953898
RECALL,0.8;0.2,0.6274842221612047,0.171921879125048
MCC,0.8;0.2,0.5442398388998717,0.11364321897203312
ACCURACY,0.5;0.5,0.8722600000000001,0.0319595431757089
BALANCED_ACCURACY,0.5;0.5,0.871520670566768,0.03209173504301507
KAPPA,0.5;0.5,0.7437750207376601,0.06407680733300043
G_MEAN,0.5;0.5,0.8679023751062722,0.03350411016803377
F1_SCORE,0.5;0.5,0.8812791735897787,0.02972760613212591
PRECISION,0.5;0.5,0.8306718084787742,0.0405559153629377
RECALL,0.5;0.5,0.9407273965298271,0.04250913790019688
MCC,0.5;0.5,0.7528041345021583,0.06240585959535415
ACCURACY,0.2;0.8,0.9254800000000004,0.018453444122981468
BALANCED_ACCURACY,0.2;0.8,0.8281593345829786,0.041633008983134635
KAPPA,0.2;0.8,0.7342569308689813,0.07185040717534406
G_MEAN,0.2;0.8,0.8108469027018248,0.05032657639805907
F1_SCORE,0.2;0.8,0.9551373753646746,0.010995215832144821
PRECISION,0.2;0.8,0.9235210068179053,0.018159561065970515
RECALL,0.2;0.8,0.9892161899390937,0.009041642399656992
MCC,0.2;0.8,0.751227197377992,0.06633302110736815
ACCURACY,0.0675;0.9325,0.9669199999999998,0.016440000000000003
BALANCED_ACCURACY,0.0675;0.9325,0.7769775172103921,0.09555932594973063
KAPPA,0.0675;0.9325,0.6624205754786123,0.17738513188642685
G_MEAN,0.0675;0.9325,0.7319393328180017,0.1399220871194437
F1_SCORE,0.0675;0.9325,0.9825105086454959,0.008747755761969962
PRECISION,0.0675;0.9325,0.9689665450434007,0.014425185200206673
RECALL,0.0675;0.9325,0.9966054503507792,0.009723528271419066
MCC,0.0675;0.9325,0.6991966321451861,0.14748732323061978
